positive,negative
absah,abnormal
absolut,absurd
acuan,acak
afdol,acak-acakan
ahli,acuh
akademisi,acuh tak acuh
akan bayar,adiktif
akbar,adil
akrab,agresi
aktif,agresif
aktualisasi,agresor
akur,aib
akurat,air terjun
alami,akurat
alamiah,alarm
alhamdulillah,alasan
alim,alat permainan
alim ulama,alergi
amal,alergik
amal jariah,amat ketakutan
aman,amat panas
aman-aman,ambigu
amboi,ambivalen
ampuh,ambivalensi
anak emas,amoral
andal,amoralitas
andalan,ampun
anggukan,amuk
anggun,anak nakal
animo,anak yatim
anjuran,anarki
anteng,anarkis
antusias,anarkisme
antusiasme,ancaman
anugrah,aneh
apresiasi,aneh lagi
arahan,anehnya
atensi,angkuh
ayo,angriness
bagus,anjing
bahagia,anjlok
bahagiakan,anomali
bahagian,antagonis
bahu-membahu,antagonisme
baik,antek
baik-baik,anti-
bajik,anti-Amerika
bakat,anti-Israel
bakti,anti-kita
bala bantuan,anti-pendudukan
balas budi,anti-proliferasi
balas jasa,anti-putih
bangga,anti-Semit
bangkit,antipati
bantu,antisosial
bantuan,antitesis
banyak,apak
banyak-banyak,apati
beasiswa,apatis
bebas banjir,apek
bebas hambatan,apokaliptik
bebas murni,apologis
becus,argumentatif
bekal,artinya jika
beken,asam
bekerja keras,asap
bekerja sama,asem
belajar,asing
belas kasih,astaghfirullah
benah,asusila
benar,awan
bening,awas
berakal,babi
berakhlak,badai
beramal,bahan tertawaan
beraneka ragam,bahaya
berangkulan,bajingan
berani,baju kotor
berbagi,balas dendam
berbahagia,bandel
berbaikan,bandot
berbakat,bangkrut
berbakti,bantingan
berbangga,banyak sekali
berbinar-binar,barang ganjil
berbobot,barbar
berbudaya,basi
berbudi,bau
berbunga-bunga,bawahan
bercahaya,bebal
berdamai,beban
berdaulat,bejat
berdaya,bekas
berdaya guna,bekas luka
berdaya upaya,bekas roda
berdecak kagum,beku
berdikari,belah
berempati,belum dewasa
beretika,belum dicoba
beretiket,belum dikonfirmasi
berfaedah,belum pasti
berfungsi,belum selesai
bergandengan,benar-benar
bergizi,bencana
bergotong-royong,bencana alam
berguna,benci
berhadiah,bengah
berharap,bengis
berharga,bengkak
berhasil,bengkeng
berhemat,bengkok
berihtiar,benjolan
berijtihad,bentrokan
berikhtiar,beracun
berikrar,beradab
beriktikad,berakhir
beriman,berang
berimbang,berani
berinisiatif,berantakan
berinovasi,berat
beritikad,berat sebelah
berjaya,berawan
berkembang pesat,berbahaya
berkesinambungan,berbatu-batu
berkhasiat,berbau
berkibar,berbeda
berkontribusi,berbisa
berkoordinasi,berbohong
berkreasi,berbuat curang
berkualitas,berbuat jahat
berlimpah,berbuat salah
bermaaf-maafan,berbuih
bermanfaat,bercacat
berminat,berdalih
bermoral,berdarah
bermusyawarah,berdasar
berniat,berdaya
berolah raga,berdebar
berpeluang,berdebat
berpelukan,berdebu
berpengalaman,berdengung
berprestasi,berdenyut
bersabar,berdenyut-denyut
bersahabat,berderak
bersahaja,berderit
bersalam-salaman,berdetak
bersalaman,berdokumen
bersama,berdosa
bersama-sama,berduka
bersatu,berduri
bersatu padu,berdusta
bersedia,berebut
bersesuaian,bergairah
bersilaturahmi,bergegas
bersimpati,bergelombang
bersinergi,bergeming
bersopan santun,bergerak
bersorak,bergerak lambat
bersorak sorai,bergerigi
bersosialisasi,bergetar
bersukaria,bergolak
bersyukur,bergulat
bertahan,berhaluan kiri
bertahap,berisiko
bertalenta,berita palsu
bertasawuf,berjangkit
bertasbih,berjuang
bertasyakur,berkarat
bertaubat,berkata tanpa berpikir
bertawakal,berkedip
bertekad,berkejut
bertepa salira,berkenan
berterima kasih,berkeping-keping
berterus terang,berkeras pendirian
bertobat,berkeringat
beruntung,berkerut
berupaya,berkhayal
berusaha,berkilat
berwawasan,berkilau
berwibawa,berkolusi
berzakat,berkonflik
berzikir,berkubang
betul,berkurang
bhinneka,berlangganan
bibit unggul,berlebihan
bijak,berlemak
bijaksana,berlengah-lengah
bintang kelas,berlepotan
bintang lapangan,berliku-liku
bintang panggung,berlumpur
bisa,bermain berlebih-lebihan
bismillah,bermasalah
bombastis,berminyak
bonafid,bermoral
bonafide,bermuka dua
bonafit,bermuram
bonus,bermuram durja
brilian,bermusuhan
buah hati,bermutu rendah
buah karya,bernasib buruk
budi pekerti,bernoda kotor
budiman,berongga
cakap,berperang
cakep,berpura-pura
canggih,berputus asa
cekatan,bersaing
cemerlang,bersakit
cendekia,bersanding
cendekiawan,bersedih
cepat,bersekongkol
cerdas,berselang
cerdik,berselisih
ceria,bersemangat
cermat,bersenandung
cermati,berserakan
cita,bersetubuh
cita-cita,bersisik
cocok,bertele-tele
cukup,bertemu
cuma-cuma,bertengkar
damai,bertentangan
daur ulang,berteriak
daya guna,bertindak tidak pantas
daya gunakan,bertingkah
daya upaya,bertubuh kecil
decak kagum,berukuran terlalu kecil
demokrasi,berumur pendek
demokratis,berwajah dua
devisa,biadab
dewasa,bias
diaktifkan,biasa
diakui,biasa-biasa saja
diakurkan,bid'ah
diamini,bikinan
diaminkan,bimbang
diandalkan,binasa
dianjurkan,bingung
dianugerahi,Bingung
dianugerahkan,bisa ular
dianugrahkan,bising
diarahkan,blunder
dibaguskan,bobrok
dibahagiakan,bocor
dibaikkan,bodoh
dibanggakan,bohong
dibantu,bom
dibekali,boneka
dibekalkan,boros
dibela,bosan
dibenahi,botak
diberdayakan,brutal
diberitahu,bual
dibina,buar
dicapai,buas
dicerdaskan,budak
diceriakan,bug
dicermati,bukan kepalang
dicermatkan,buntu
didamaikan,bunuh diri
didaur ulang,buram
didayagunakan,buritan
didayaupayakan,buronan
didik,buruk
didonasikan,buruk sekali
didonorkan,busuk
diedukasi,buta
diedukasikan,buta huruf
diefektifkan,cabul
difavoritkan,cacat
digalakkan,cacian
digandrungi,calo
digapai,cambuk
digratiskan,canggung
dihadiahi,cara
dihadiahkan,cari perkara
dihargai,carut-marut
diharmoniskan,cebol
dihemat,cedera
dihibur,cekcok
dihijaukan,cekung
dihormati,celaan
dikaji kembali,celah
dikakgumi,celaka
dikaruniai,cemas
dikaruniakan,cemberut
dikaryakan,cemburu
dikasihi,cemooh
diketahui,cemoohan
diklarifikasi,cenderung
dikokohkan,cengeng
dikukuhkan,cengking
dilancarkan,cercaan
dilanggengkan,cerdik
dilapangi,cerewet
dilapangkan,ceroboh
dilegakan,compang-camping
dilerai,corengan
dilestarikan,cukup
dilimpahkan,curam
dilindungi,curang
diluhurkan,curiga
dilunasi,dancok
dimaafkan,dangkal
dimerdekakan,deadline
diminati,debu
dimotivasi,defensif
dimudahkan,degenerasi
dimuliakan,degradasi
dioptimalkan,dehumanisasi
dipahami,delusi
dipathui,demam
dipatuhi,demoralisasi
dipelajari,dendam
dipenuhi,dengan mencemoohkan
diperbagus,dengan mendapat malapetaka
diperbaiki,dengan mengagetkan
diperbantukan,dengan menghina
diperbarui,dengan menyedihkan
diperbenar,dengan menyesal
dipercakap,dengan panas
dipercakep,dengan penuh ketakutan
dipercanggih,dengan rasa curiga
dipercantik,dengan rasa hina
dipercaya,dengan remeh-temeh
dipercepat,dengan sedih
diperdamai,dengan segan
diperelok,dengan sengit
dipererat,dengan sia-sia
diperkenankan,dengan suara keras
diperlancar,dengan sukar
diperlapang,dengan terbahak-bahak
dipermudah,dengan tidak senang
dipersatukan,dengki
dipersolid,depresi
dipertampan,derita
diprioritaskan,desis
diproses,destruktif
dipuaskan,diam
dipulihkan,diam-diam
diraih,dibakar
dirampungkan,dibanjiri
dirangkul,dibantai
dirapihkan,dibenarkan
dirapikan,dibenci
dirawat,dibesar-besarkan
direnungi,dibuang
direnungkan,dibuat-buat
direstui,dicela
diridai,dicerca
diridhai,dicuci
diridhoi,dicuri
diridoi,didanai
dirohmati,diganggu
dirukunkan,dihaluskan
disadarkan,dihentikan
disanjung,dihibur
disanjung-sanjung,dihukum
disantuni,dijauhi
disapu bersih,dijelaskan
disatukan,dikaburkan
disayangi,dikenakan
diserahkan,dikorbankan
disetujui,diktator
disingsingkan,diktatoris
disolidkan,dilapisi gula
distabilkan,dilecehkan
disterilkan,dilema
distimulasi,dilenyapkan
disubsidi,dimaafkan
disucikan,dimarahi
disukai,dimengerti
disukseskan,dingin
disyukuri,diperangi
ditaati,diperkosa
ditabahkan,diperlakukan dengan buruk
ditauladani,dipermainkan
ditekuni,dipertanyakan
diteladani,dipikirkan
ditenangkan,dirampas
ditenteramkan,diremehkan
ditentramkan,dirugikan
ditepati,disalahgunakan
diterangi,disalahpahami
diterima,disayangkan
ditertibkan,disebut-sebut
ditindaklanjuti,disederhanakan
ditolong,disengaja
dituntun,disengketakan
diunggulkan,disiram
diuntungkan,diskredit
diupayakan,diskriminasi
diusahakan,diskriminatif
diutamakan,disorient
doakan,disproporsional
donasi,distorsi
donatur,ditakdirkan
donor,ditinggalkan
dorong,ditipu
dukungan,ditolak
dzikir,dogmatis
edukasi,dominan
edukatif,dongkol
efektif,dosa
efisien,downgrade
ekonomis,drastis
ekspres,drop-out
elegan,dua wajah
elite,dugaan
elok,duka
eloknya,dukun
empati,dumping
enak,dungu
enak-enak,duniawi
enteng,dupa
esensial,durhaka
estetik,duri
estetis,dusta
etis,dusun
evaluasi,dwimakna
faedah,edan
fakta,egois
faktual,egoisme
fantastis,egomania
fasih,egosentris
favorit,ejek
fenomenal,ejekan
final,ekonomis
fitrah,eksploitasi
gagah,eksploitatif
gampang,eksplosif
ganteng,ekstremis
gapai,enggan
gegap gempita,enggan membantu
gemilang,erosi
genius,fana
genjot,fanatik
giat,fanatisme
gigih,fantastis
gilang-gemilang,fasis
gotong-royong,fasisme
gratis,fatal
gunanya,fiksi
hadiah,fitnah
hak mutlak,fitnahan
hakikat,fobia
hakiki,friksi
halal,frustasi
halal bihalal,frustrasi
halalbihalal,fundamentalis
handal,fundamentalisme
happy,ga jelas
harapan,ga karuan
harapkan,ga peka
harmoni,gadungan
harmonis,gagal
harmonisasi,gagap
hebat,gaib
heroik,galak
hibah,ganas
hibur,gangguan
hidayah,ganjil
hidmat,ganti rugi
hidup,gantung
higienis,garang
hikmah,garis keras
hits,garu
hoki,gasang
hore,gatal
hormat,gegabah
hormat-menghormati,gejala
hormati,Gejala
humoris,gelandangan
husnul khatimah,gelap
ibadah,gelisah
ideal,gelora
ihsan,gembar-gembor
ihtiar,gendut
ijtihad,genit
ikhlas,genosida
ikhtiar,genting
iktikad,gerah
ilmiah,geram
iman,gerombolan
impresif,gesekan
imut-imut,gesper
indah,getah
informatif,getaran
inisiatif,giat
inovasi,gigih
inovatif,gigil
inovator,gila
insaf,gila hormat
insan,gila ketakutan
insan kamil,gila-gilaan
insentif,godaan
inspirasi,goreng
insya allah,goresan
integritas,gosip
intelek,goyah
intelektual,goyangan
inteligensi,gua
inteligensia,gugup
intensif,gurun
irit,gusar
islami,habis
istikharah,hak milik
istimewa,hal merendahkan diri
istiqamah,hal tidak dimengerti
itikad,halangan
itikaf,hama
izin,hambatan
jago,hampir
jagoan,hampir mati
jangan dulu,hancur
jawaban,hang
jelas,haram
jelaskan,harga di atas
jempolan,hasutan
jenius,haus
juara,haus darah
jujur,hedon
kagum,hedonistik
kaji,hegemoni
kamil,hegemonisme
kampiun,hemat
kapabel,hidung belang
karib,hina
karisma,hingar-bingar
karismatik,hiruk-pikuk
karunia,histeri
kasih,histeria
keakraban,histeris
keanggunan,hujat
kebaikan,hukuman
kebajikan,hukuman penjara
kebanggaan,hukuman setimpal
kebenaran,hutang
keberhasilan,iblis
kebersamaan,idiot
keberuntungan,igauan
kebulatan suara,ih
kebulatan tekad,ikut campur
kecakapan,ilegal
kecekatan,Iluminati
kecemerlangan,ilusi
keelokan,imajiner
kegemilangan,imperialis
kegeniusan,impoten
kegigihan,impulsif
kehebatan,individualis
kehormatan,indoktrinasi
keikhlasan,infeksi
keindahan,inferioritas
keistimewaan,inflamasi
kejayaan,inflasi
kejelasan,ingusan
kejeniusan,inkompeten
kejujuran,inkompetensi
kekaguman,inkonsistensi
kekeluargaan,inkonstitusionil
kekhidmatan,insensitively
kekhusukan,interupsi
kekhusyukan,intimidasi
kelancaran,intrusi
kelapangan,invasif
kelebihan,irasional
kelembutan,irasionalitas
kelezatan,iri
kemajuan,Iritasi
kemakmuran,ironi
kemampuan,ironis
kemandirian,ironisnya
kemantapan,isolasi
kemenangan,istirahat
kemeriahan,isu
kemudahan,jadah
kemuliaan,jahanam
kenikmatan,jahat
kenyamanan,jalan buntu
kepedulian,jalan keluar
kepercayaan,jancuk
keramahan,janggal
keren,jatuh
keridaan,jatuh sakit
keridhaan,jauh
keridhoan,jebakan
keridoan,jelaga
kerja,jelas
kerukunan,jelatang
kesabaran,jelek
kesanggupan,jelu
keselarasan,jempol kebawah
kesepakatan,jenaka
kesesuaian,jengkel
keshalehan,jerat
kesinambungan,jerawat
kesopanan,jeritan
kesuksesan,jeruk nipis
ketaatan,jijik
ketabahan,jompo
ketawakalan,jumlah sedikit
ketegarab,kabur
ketekunan,kabut
keteladanan,kacau
ketenangan,kadaluarsa
ketentraman,kadung
keterbukaan,kafir
ketertiban,kagum
keunggulan,kain kafan
keuntungan,kaku
kewajiban,kalah
kewenangan,kalahan
keyakinan,kambing hitam
kharisma,kambuh
kharismatik,kampungan
khidmat,kandang
khusyuk,kandas
klarifikasi,kanibal
kokoh,kanker
kolaborasi,kantong sampah
komersial,kapak
komfortabel,kapalan
komitmen,karat
kompak,kasar
kompatibel,kasihan
kompeten,kata-kata kasar
kompetensi,katastropi
komplet,keadaan acuh tak acuh
komprehensif,keadaan buruk
komunikasi,keadaan darurat
komunikatif,keadaan pingsan
kondusif,keadaan sulit
konfirmasi,keanehan
konform,keangkuhan
konkret,kebal
konsisten,kebencian
konsistensi,keberanian
konstan,keberatan
kontinu,keberbahayaan
kooperatif,kebetulan
koordinasi,kebiadaban
kreasi,kebiasaan
kreatif,kebingungan
kreativitas,KEBINGUNGAN
kuat,kebiri
lailatul kadar,kebisingan
lailatul qadar,kebobolan
lailatulkadar,kebocoran
lailatulqadar,kebodohan
lancar,kebohongan
langgeng,kebosanan
langsing,kebrutalan
laporkan,kebuntuan
layak,keburukan
lega,kecabulan
legal,kecaman
legendaris,kecanduan
leluasa,kecapaian
lembut,kecelakaan
lerai,kecelakaan kapal
lezat,kecemasan
lincah,kecemburuan
logis,kecenderungan
lolos,kecenderungan untuk menurun
loyal,kecerobohan
loyalitas,kecewa
luar biasa,kecil
lucu,kecongkakan
luhur,kecurangan
lulus,kecurigaan
lunas,kedangkalan
luwes,kedengkian
mabrur,keengganan
mahir,kefanatikan
maju,kegagalan
makan,keganasan
makmur,kegarangan
mampu,kegelapan
mandiri,kegelisahan
manfaat,kegemparan
manjur,kegemukan
mantap,kegilaan
masuk akal,kegoyangan
masukan,kegugupan
masyhur,kehabisan
megah,kehancuran
melancarkan,kehebohan
melanggengkan,Keheranan
melapangkan,kehilangan
melaporkan,kehilangan keseimbangan
melegakan,kehinaan
melerai,keinginan pribadi
meleraikan,keingkaran
melestarikan,keirasionalan
melezatkan,kejahatan
melindungi,kejam
meluhurkan,kejang
melunasi,kejanggalan
meluruskan,kejangkitan
memaafkan,kejatuhan
memadai,kejelekan
memahami,kejengahan
memajukan,kejengkelan
memakmurkan,keji
memantapkan,kejut
mematuhi,kekacauan
membaguskan,kekakuan
membahagiakan,kekalahan
membaik,kekanak-kanakan
membalas budi,kekecewaan
membanggakan,kekecilan
membangkitkan,kekejaman
membangun,kekejamannya
membantu,kekeliruan
membawa revolusi,kekenyangan
membenahi,kekerasan
memberbaiki,kekerasan pendirian
memberdayakan,kekeringan
memberi kesempatan,kekesalan
memberikan kesempatan,kekhawatiran
membesarkan,kekhilafan
membetulkan,kekosongan
membulatkan hati,kekotoran
membulatkan tekad,kekuatiran
memenagkan,kekurangan
memenangkan,kekurangpekaan
memenuhi,kelakuan buruk
memenuhi persyaratan,kelalaian
memerdekakan,kelambanan
memopulerkan,kelancangan
memotivasi,kelangkaan
memperaman,kelaparan
memperbagus,kelas dua
memperbaiki,kelelahan
memperbantukan,kelemahan
memperbarui,kelemahan karena usia tua
mempercanggih,kelembutan
mempercantik,kelesuan
mempercerdas,keletihan
memperdamai,keliru
mempererat,keluar
memperhatikan,keluhan
memperindah,Keluhan
memperlancar,kelupaan
memperlapang,kemacetan
mempermudah,kemalangan
mempersatukan,kemalasan
mempersiapkan,kemandekan
mempersolid,kemarahan
mempersukses,kemasukan setan
mempertampan,kemasyhuran
mempertemukan,kematian
mempertimbangkan,kembali
memuaskan,kemelaratan
memudahkan,kemenduaan
memuji,kemerosotan
memukau,kemiskinan
memuliakan,kemunafikan
memulihkan,kemunduran
memurnikan,kemurkaan
memusyawarahkan,kemurungan
menaati,kemustahilan
menakjubkan,kendor
menang,kendur
menarik,kenekatan
menauladani,kental
mencerahkan,kepahitan
mencerdaskan,kepala batu
menceriakan,kepala-sakit
mendamaikan,kepatahan
mendapat tempat,kepedaran
mendayagunakan,kependekan
mendayaupayakan,kepentingan
mendonasikan,kepentingan diri sendiri
mendonorkan,kepicikan
mendorong,keputusasaan
mendukung,keputusasan
menegakkan,keracunan
meneladani,keraguan
menenangkan,kerangka
menengahi,keras
menentramkan,keras hati
menepati,keras kepala
menerima,keras-kapal
menertibkan,kerasnya
menetapkan,kerdil
mengagumi,kere
mengagumkan,kerepotan
mengakrabkan,kereta
mengakurkan,keretakan
mengamankan,keriangan
mengandalkan,keributan
menganjurkan,kerinduan
mengantisipasi,kering
menganugerahi,keriput
menganugrahi,keriuhan
menganugrahkan,kerlip
mengasah,keroncongan
mengedukasi,kerugian
mengedukasikan,Kerugian
mengefektifkan,kerusakan
mengerti,kerusuhan
menggalakkan,kerut
menggapai,keruwetan
menggenjotkan,kesal
menggiatkan,kesalahan
menggugah,kesalahan besar
menghadiahkan,kesalahan hitung
menghadiri,kesalahpahaman
menghargai,kesamaan
mengharmoniskan,kesedihan
mengharu biru,keseganan
mengharukan,kesegeraan
mengharumkan,kesembronoan
menghayati,kesendirian
menghemat,kesengitan
menghentikan,kesengsaraan
menghibur,kesepian
menghijaukan,keserakahan
menghormati,keseriusan
mengilhami,kesesakan
mengimbangi,kesilauan
mengingatkan,kesombongan
menginovasikan,kesulitan
menginsafi,kesuraman
menginsafkan,kesyahidan
menginspirasi,ketabahan
menginspirasikan,ketakberanian
mengisi,ketakutan
mengokohkan,ketamakan
mengoptimalkan,ketat
mengukuhkan,ketegangan
mengulurkan tangan,ketenangan
mengungguli,keterbatasan
mengungkap,keterbelakangan
mengungkap kasus,keterlaluan
menguntungkan,ketiadaan
mengupayakan,ketiadaan rasa hormat
mengusahakan,ketidakabsahan
menimba ilmu,ketidakadilan
menindak,ketidakakuratan
menindaklanjuti,ketidakamanan
meningkat,ketidakbahagiaan
meningkatkan,ketidakberdayaan
menjadi sama,ketidakbijaksanaan
menjaga,ketidakcakapan
menjaring,ketidakcocokan
menjawab,ketidakcukupan
menjembatani,ketidakefektifan
menjernihkan,ketidakefisienan
menjinakkan,ketidakjelasan
menjiwai,ketidakjujuran
menolong,ketidakkasihan
menstabilkan,ketidaklogisan
mensucikan,ketidakmampuan
mensyukuri,ketidakmampuan menyesuaikan diri
mentaati,ketidakmungkinan
menunaikan,ketidakmurnian
menunjang,ketidakpantasan
menuntun,ketidakpedulian
menyadari,ketidakpercayaan
menyadarkan,ketidakpuasan
menyayangi,ketidakrelevanan
menyeimbangkan,ketidaksabaran
menyelamatkan,ketidaksamaan
menyelaraskan,ketidakseimbangan
menyelesaikan,ketidaksempurnaan
menyesuaikan,ketidaksenangan
menyetujui,ketidaksenonohan
menyinergikan,ketidaksetaraan
menyingkronkan,ketidaksetiaan
menyingsingkan,ketidaksopanan
menyinkronkan,ketidakstabilan
menyucikan,ketidaktahuan
menyukai,Ketidaktelitian
menyukseskan,ketidaktelitian
merahmati,ketidakteraturan
meraih,ketidaktertarikan
merampungkan,ketidaktoleranan
merangkul,ketidaktulusan
merapihkan,ketinggalan
merapikan,ketukan
merawat,ketus
merdu,kewajiban
meremajakan,kewalahan
merenungi,kezaliman
merenungkan,khawatir
merestui,khayalan
meriah,khayalan belaka
meridai,khayali
meridhai,khianat
meridhoi,khusus
meridoi,kiamat
meringankan,kikir
merohmati,kikuk
merukunkan,kios
momentum,kisi
motivasi,klik
mudah,klise
mudah-mudahan,knalpot
mufakat,kolot
mujarab,kompatibel
mujur,kompleks
mulia,komplikasi
multi fungsi,komplotan
multi guna,kompong
multifungsi,konflik
multiguna,konfrontasi
mulus,kongkalikong
mumpuni,konservatif
murah,konsesi
murni,konspirasi
mustajab,konspiratif
musyawarah,konspirator
mutakhir,kontaminasi
naik,kontensius
ngetop,kontol
ngetren,kontra
nikmat,kontra-produktif
nilai tambah,kontradiksi
nomor wahid,kontradiktif
normal,kontraproduktif
nyaman,kontroversi
objektif,kontroversial
obyektif,konyol
ok,korban
optimal,korban kecelakaan
optimis,korosi
optimisme,korosif
optimistis,korup
orisinal,korupsi
orisinalitas,kotor
orisinil,kotoran
pahlawan,kram
pakar,krisis
pandai,kritik
pantas,kritikus
panutan,kritis
patroli,kronis
patuh,kuat
peduli,kuatir
pegangan,kucam
pejuang,kucing gemuk
pekerti,kudung
pelancaran,kukuh
pelayanan,kuning
peleraian,kuno
pelestarian,kupas
pelipur,kurang
pemaaf,kurang ajar
pemantapan,kurang baik
pembangunan negara,kurang berkembang
pembangunan umat,kurang beruntung
pembaruan,kurang dikenal
pembenahan,kurang lengkap
pemberdayaan,kurang menarik
pembulatan tekad,kurang pengalaman
pemeriksaan,kurang sehat
pemersatu,kurang sopan
pemersatuan,kurus
pencari ilmu,kusut
pencarian,kutukan
pencerahan,labil
pendidik,labu
pendonasian,lacur
pendonor,lalai
penegakan,lalim
penemu,lama
penengah,lamban
penerang,lambat
pengampunan,lancang
pengantisipasian,lancar
penganugerahan,lapis kedua
pengembangan,lapuk
pengertian,larangan
penggalakan,larut
penggiatan,latency
penggugah,lawan
penghargaan,lebam
penghijauan,lebih buruk
pengoptimalan,lebih keras
