positive,negative
peningkatan,lebih mahal
penjelasan,lebihan
penjernihan,lecet
penolong,ledakan
penstabilan,lekat
penting,lekir
penuntun,lekuk
penurut,lelah
penyabar,lelucon
penyantun,lemah
penyantunan,lemak
penyatuan,lemak-kucing
penyayang,lemas
penyuksesan,lembab
peran kunci,lembek
perbaikan,lemot
percaya,lendir
perdamaian,lengkap
perhatian,lengket
perkembangan,lepas
persahabatan,lereng
persaudaraan,lesu
pertaubatan,letih
pertobatan,letusan
pertolongan,liar
pertumbuhan,licik
perundingan,licin
petunjuk,lier
pintar,limbah
populer,limbung
positif,linglung
potensi,lintah
potensial,lirik
praktis,longgar
preseden,luah
presisi,luar biasa
prestasi,lubang angin
prestise,lucu
prestisius,luka
prima,luka bakar
primadona,luka lecet
prioritas,lumpuh
proaktif,lumpur
produktif,lunak
profesional,lupa
profit,lusuh
proporsional,Maaf
prospektif,mabuk
proteksi,mabuk kepayang
puas,mafia
pulih,mahal
rahman,main mata
rahmat,main perempuan
rajin,mainan kerincingan
ramah,makian
ramah tamah,makin
rampung,malang
rapi,malapetaka
rapih,malas
rasional,malu
rasul,malu-malu
realistis,mampat
reformasi,mandek
rekonsiliasi,manipulasi
relawan,manipulatif
relevan,manipulator
relevansi,manja
relevansinya,marah
reliabel,marah-marah
renungan,marginal
resmi,masalah
responsif,masam
revolusioner,mati
rezeki,mati kelaparan
riang,mati lemas
rida,mati rasa
ridha,mati-matian
ridho,mau bertobat
rido,megah
rileks,megap-megap
riset,melalaikan
rohmat,melambat
rukun,melampiaskan
rupawan,melancarkan
sabar,melanggar
sadar,melanggar hukum
sakinah,melanggar susila
saksama,melarang
saleh,melarikan diri
salehah,melawan hukum
saling tegur,melayu
salut,melebih-lebihkan
sanggup,melecehkan
santun,meledak
satu padu,melelahkan
sayang,melemahkan
sebaik-baiknya,melenceng
sebesar mungkin,melengking
secepatnya,melengkingkan
seefektif,melengkung
seimbang,melenyapkan
sejalan,melepaskan
selamat,melepuh
selaras,meleset
selesai,meletakkan-off
selesaikan,melibatkan
semangat,melimpahi
semoga,melinglungkan
senang,melodramatis
serius,melongo
sesuai,melongsorkan
setuju,melucuti senjata
shaleh,melukai
shalehah,meluluhkan
shalihah,melumpuhkan
sholeh,melunakkan
siap,meluruhkan
silahkan,memabukkan
silaturahmi,memadamkan
simpati,memakan waktu
sistematik,memaksa
sistematis,memaksakan
siuman,memalsukan
sobat,memalukan
sohib,memamerkan
solid,memanaskan
solidaritas,memancing
solider,memandang dengan marah
solusi,memandang rendah
sopan,memanjakan
sopan santun,memar
sorga,memarahi
spektakuler,memarahkan
spesial,memarut
sportif,mematahkan semangat
sportivitas,mematikan
stabil,membagi
steril,membahas
strategis,membahayakan
subsidi,membakar
suci,membalas
sudah berupaya,membalikkan
sudah berusaha,membanjiri
sudah dilakukan,membantah
sukaria,Membantah
sukses,membara
syukuran,membatalkan
taat,membatasi
tahu,membatu
tak ada banding,membayar lebih
tak ada bandingan,membedakan
tak ada tandingan,membeku
talenta,membekukan
tampan,membela
tangguh,membelit
taubat,membenci
tauladan,membengisi
tawaduk,memberatkan
tawakal,memberhentikan
tegar,memberontak
tegas,membinasakan
teguh,membingungkan
tekad,membohong
tekun,memboikot
teladan,memboikot dr masyarakat
telah berjalan,membolos
tenteram,membombardir
tentram,membongkar
tepa salira,membosankan
tepat guna,membuang
tepat sasaran,membuang waktu
tepati,membuat
terahmati,membuat bersedih hati
terawat,membuat bingung
terbaik,membuat kasar
terbantu,membuat malu
terbarukan,membubuhi gula
terbiasa,membujuk
terbrilian,membunuh
tercakap,memburuk
tercakep,memburukkan
tercanggih,memburuknya
tercangging,membusuk
tercantik,membutakan
tercerdas,memecat
terdongkrak,memekakkan telinga
teredukasi,memenjarakan
terfavorit,mementingkan diri sendiri
terfenomenal,memeras
tergapai,memerciki
terharu,memerintahkan
terhebat,memfitnah
terhibur,memihak
terhormat,memikat
terima kasih,memisahkan
terindah,memiskinkan
terinformasi,memohon
terinspirasi,memperberat
teristimewa,memperbudak
terjangkau,memperdaya
terkagum-kagum,memperdayakan
terkasih,memperingatkan
terkenal,memperkosa
terkendali,memperlambat
terkirim,memperlemah
terlezat,mempersiapkan
terlincah,mempesona
termasyhur,mempolemikkan
termotivasi,memprihatinkan
ternama,mempropagandakan
terohmati,memprotes
terpana,memprovokasi
terpandai,memuakkan
terpandang,memuaskan diri
terpilih,memudarnya
terpintar,memukul
terpuji,memukul dengan tongkat
terpukau,memukul mundur
tersabar,memuntahkan
tersadar,memurahkan
tersadarkan,memusnahkan
tersantun,memutar
tersantuni,memutarbalikkan
tersayang,memutuskan
tersipu,menabrak
tersipu-sipu,menahan
tersohor,menakuti
tersopan,menakutkan
terspektakuler,menampar
terstruktur,menanamkan
tersuci,menangis
tersucikan,menarik diri
tersukses,menarik kembali
tertaat,menarik perhatian
tertampan,menaruh simpati
tertib,menasihati
tertolong,mencabut
teruji,mencabut perlindungan hukum
terungkap,mencaci
terurus,mencairkan
terus terang,mencampuradukkan
tetap di sini,mencampuri
tiada banding,mencap
tiada bandingan,mencekik
tiada tandingan,mencela
tidak ada banding,mencemari
tidak ada bandingan,mencemaskan
tidak ada tandingan,mencemoohkan
toleran,mencibir
toleransi,mencicit
tolong-menolong,mencium
trofi,menciut-ciut
tropi,mencla-mencle
tulus,mencolok
tuntas,mencopoti
tuntun,mencubit
tuntunan,mencuci otak
ukhuwah,mencuri
ulet,mencurigakan
unggul,mendadak
unggulan,mendakwa
unik,mendatang
usulan bersama,mendatangkan
usulan masyarakat,mendeklamasikan
valid,menderita
visibel,menderita khayalan
wah,menderita sekali
wajar,mendesak
wajar-wajar,mendesis
wibawa,mendidih
yahud,mendistorsi
yakin,menduduki
accord,menegur
asyik,menekan
asyiknya,menekankan
bantuan,menelan
bimbingan,menentang
aduhai,menertawakan
boleh juga,menetes
luar biasa,mengabaikan
sabar,mengaburkan
keren,mengacak
cakep,mengacaukan
senang,mengaku
maaf,mengakui
minta maaf,mengalah
sehat,mengalahkan
suka,mengalihkan
cinta,mengambil alih
dimaafkan,mengamputasi
dikejar,mengamuk
tidak apa-apa,mengancam
cepat sembuh,mengancam jiwa
jago,mengangkat bahu
imut,menganiaya
jujur,mengatakan
adil,mengebiri
lucu,mengecam
terima kasih,mengecewakan
sehat,mengecilkan
manis,mengecilkan hati
mantap,mengejan
lebih baik,mengejek
mengaku,mengejuntukan
profesional,mengejutkan
nyaman,mengeksploitasi
rezeki,mengeluarkan
setuju,mengeluarkan isi perut
sumbangan,mengeluh
amal,mengelupas
menggemaskan,mengembara
boleh juga,mengemis
,mengendapkan
,mengepung
,mengerang
,mengeras
,mengerdilkan
,mengerikan
,mengering
,mengerjakan dengan kurang baik
,mengerti
,mengerut
,mengesalkan
,menggagalkan
,menggampangkan
,mengganggu
,mengganggu ketenangan
,menggantikan
,menggantung
,menggaruk
,menggarut
,menggasak
,menggelapkan
,menggelegar
,menggelepar
,menggeliat-geliut
,menggelikan
,menggelisahkan
,menggemparkan
,menggentari
,menggerakkan
,menggeram
,menggerenyet
,menggerogoti
,menggertak
,menggerutu
,menggigil
,menggigit
,menggila
,menggiling
,menggoda
,menggoyang
,menggugat
,menggugurkan
,menggulingkan
,menggusarkan
,menghadapi
,menghalangi
,menghalau
,menghambat
,menghancurkan
,menghantui
,menghapus
,menghapuskan
,menghasut
,menghebohkan
,mengherankan
,menghilangkan
,menghina
,menghinakan
,menghindari
,menghujat
,menghukum
,menghukum sebelum memeriksa
,mengigau
,mengikis
,mengindoktrinasikan
,mengingkari
,menginjak-injak
,mengintai
,mengintimidasi
,mengintip
,mengisap
,mengkhawatirkan
,mengkhianati
,mengkritik
,mengoceh
,mengolesi
,mengolok-olok
,mengomel
,mengorbankan
,mengotori
,mengotorkan
,mengoyakkan
,menguap
,menguasai
,mengumpat
,mengumumkan kekurangan
,mengundurkan diri
,menguntungkan
,mengurangi
,menguras
,mengusir
,mengutuk
,Mengutuk
,meniadakan
,menidurkan
,menimbulkan
,menimbulkan kebencian
,menimpa
,menindas
,meninggal
,meninggal dunia
,meninggalkan
,meningkat
,meninju
,menipu
,menitis
,menjadi kaya
,menjadi terlalu panas
,menjarah
,menjatuhkan
,menjauhkan
,menjauhkan diri
,menjelekkan
,menjemukan
,menjengkelkan
,menjerat
,menjerit
,menjijikkan
,menjiplak tulisan
,menodai
,menohok
,menolak
,menonjol
,mentah
,menuduh
,menumbangkan
,menumpahkan
,menunda
,menunduk
,menundukkan
,menuntut
,menurun
,menurunkan
,menurunkan nilai
,menusuk
,menutup jalan
,menyaingi
,menyakiti
,menyakitkan
,menyala
,menyalahgunakan
,menyalahkan
,menyangkal
,menyangsikan
,menyapa
,menyayangkan
,menyayat
,menyayat hati
,menyebalkan
,menyederhanakan
,menyedihkan
,menyelinap
,menyembunyikan
,menyenangkan
,menyengat
,menyentakkan
,menyerah
,menyeramkan
,menyerang
,menyerbu
,menyeret
,menyesali
,menyesalkan
,menyesatkan
,menyesatkan pikiran
,menyia nyiakan
,menyiangi
,menyihir
,menyiksa
,menyilaukan
,menyimpang
,menyindir
,menyinggung
,menyita pikiran
,menyolok
,menyombongkan
,menyumbat
,menyumpahi
,menyusahkan
,menyusup
,menyusut
,meracuni
,meragukan
,merajalela
,merajuk
,merampas
,merana
,merancang
,merangsang
,merasa jijik
,merata
,meratap
,meratapi
,meraup
,merayap
,merebut
,meremas
,meremehkan
,merencanakan
,merendahkan
,merendahkan martabat
,merengek
,merenung
,merepet
,meresahkan
,meretas
,merinding
,meringis
,merobek
,merokok
,merongrong
,merosot
,merugikan
,merusak
,merusak akhlak
,merusak bentuk
,merusakkan
,mewah
,meyakinkan
,mimpi buruk
,miring
,misinformasi
,miskin
,misteri
,misterius
,mitos
,momok
,mubazir
,mudah terharu
,mudah tersinggung
,mudah tertipu
,multi-polarisasi
,munafik
,mundur
,mungil
,mungkin
,mungkir
,muntah
,muntahan
,muntahan kebencian
,murah
,murahan
,muram
,murka
,murtad
,murung
,muslihat
,mustahil
,musuh
,nafsu berahi
,nafsu berperang
,naif
,najis
,nakal
,ndeso
,negatif
,nekat
,nenek
,nepotisme
,neraka
,neurotik
,ngambek
,ngawur
,ngelantur
,ngeri
,ngobrol
,ngomel
,noda
,noda-noda
,non-aktif
,non-keyakinan
,nyaring
,nyengir
,nyeri
,nyinyir
,nyonya
,obat bius
,obrolan
,obsesif
,obyek
,ocehan
,ogah-ogahan
,omelan
,omong kosong
,oportunistik
,oposisi
,orak
,orang asing
,orang bodoh
,orang buangan
,orang canggung
,orang celaka
,orang dungu
,orang fanatik
,orang gila
,orang ingkar
,orang kikir
,orang luar
,orang membenci
,orang miskin
,otokrat
,otokratis
,otoriter
,overakting
,padat
,pagar
,pahit
,paksaan
,paling aneh
,paling kejam
,paling lambat
,paling menakutkan
,palsu
,panas
,panci
,pandangan marah
,pandangan yg menghinakan
,panggilan
,panggilan dari pengadilan
,panik
,panjang
,paradoks
,paradoksal
,parah
,paranoia
,paranoid
,parasit
,paria
,parno
,parodi
,partisan
,pasif
,pasrah
,pasti
,patah
,patah hati
,patuh
,patung
,payudara
,pecah
,pecahnya
,pecandu
,pecundang
,pedas
,pedih
,pekerja buruk
,pekerjaan rumah
,pelabuhan
,pelacur
,pelakunya
,pelalaian
,pelan-pelan
,pelanggar
,pelanggar hukum
,pelanggaran
,pelanggaran hukum
,pelawak
,pelemahan
,pelepasan nafsu berahi
,pelit
,pelupa
,pemabuk
,pemalas
,pemalsuan
,pemarah
,pembakar
,pembakaran
,pembalasan
,pembangkang
,pembangkangan
,pembantaian
,pembatalan
,pembaur
,pembekuan
,pembela
,pembenci
,pembengkakan
,pemberang
,pemberontakan
,Pembobolan
,pembohong
,pembongkar
,pemborosan
,pembual
,pembuangan
,pembuatan
,pembubaran
,pembukaan lagu
,pembunuh
,pembunuhan
,pembunuhan besar-besaran
,pemecahan
,pemegatan
,pemerasan
,pemerkosaan
,pemfitnah
,pemfitnahan
,pemilih
,pemisahan
,pemotongan
,pemukulan
,pemusnahan
,pemutarbalikan
,penaklukan
,penakut
,penalti
,penangkapan
,pencegah
,pencemar
,pencemas
,pencurian
,pendapat
,pendendam
,penderita
,penderitaan
,penderitaan mendalam
,pendosa
,penekanan
,pengabaian
,pengacau
,pengaduan
,pengakuan
,pengamuk
,penganggur
,penganiaya
,penganiayaan
,pengap
,pengasingan
,pengeboman
,pengecualian
,pengecut
,pengemis
,pengenaan
,pengepungan
,pengeringan
,pengganggu
,penggerutu
,penghancuran
,penghasut
,penghinaan
,penghindaran
,penghujatan
,penghukuman
,pengingatan
,pengingkaran
,pengiring jenazah
,pengkhianat
,pengkhianatan
,pengkritik
,pengobrol
,pengotor
,pengrusakan
,pengumpatan
,pengunduran diri
,pengurangan
,penindas
,penindasan
,penipu
,penipuan
,penjahat
,penjara
,penjara gelap bawah tanah
,penjarah
,penolakan
,penuh
,penuh benci
,penuh celaan
,penuh curiga
,penuh dosa
,penuh sesal
,penumpasan
,penundaan
,penurunan
,penurut
,penyadap
,penyakit
,penyakit gila
,penyalahgunaan
,penyangkalan
,penyederhanaan berlebihan
,penyelewengan
,penyembunyian
,penyendiri
,penyerbu
,penyergapan
,penyesalan
,penyesat
,penyesatan
,penyiksaan
,penyimpang
,penyimpangan
,penyisihan
,penyok
,penyuapan
,penyusup
,peot
,peradangan
,perampas
,perampasan
,perangkap
,perasaan geli
,perasaan waswas
,perawan tua
,perbedaan pendapat
,perbuatan jahat
,perbudakan
,perdarahan
,perebut
,perempuan jahanam
,perfidity
,pergolakan
,perhatian
,perih sekali
,peringatan
,perjuangan
,perkelahian
,perlakuan kejam
,perlawanan
,perlu
,permohonan
,permusuhan
,perpecahan
,persahabatan
,persaingan
,perselisihan
,pertempuran
,pertengkaran
,pertengkaran sengit
,pertentangan
,pertikaian
,pertumpahan darah
,pertunjukkan
,perubahan
,perusak
,pesimis
,pesimisme
,pesimistis
,pesta
,pesta besar
,pesuruh
,petualangan
,PHK
,picik
,picketed
,pidana
,piket
,pikun
,pilih-pilih
,pimpinan salah
,pincang
,pingsan
,pisah
,pisau
,piuh
,plin-plan
,polusi
,prasangka
,pratfall
,prihatin
,primitif
,propaganda
,protes
,provokasi
,provokatif
,puas
,pucat
,pukulan
,punah
,punk
,pura-pura
,pusing
,putus
,putus asa
,racun
,radikal
,Radikal
,radikalisasi
,ragu
,ragu-ragu
,rajin
,raksasa
,ramai
,rambut rontok
,rampasan
,rantingly
,rants
,rapuh
,rasa bersalah
,rasa cemas
,rasa gelisah
,rasa sakit
,rasa suram
,rasa tidak berterimakasih
,rasa tidak enak
,rasis
,rasisme
,reaksioner
,realistis
,rebusan
,redundansi
,redup
,relevan
,remang
,remang-remang
,remeh
,remehkan
,rendah
,rendah dinilai
,rendahan
,rentan
,represi
,represif
,reruntuhan
,resah
,resesi
,retak
,retorik
,retoris
,rewel
,reyot
,ribet
,ribut
,rintik
,risiko
,riuh
,roboh
,rongsokan
,ruam
,rumah kaca
,rumit
,rumor
,runtuh
,rusak
,rusuh
,sabar
,sabotase
,sakit
,sakit dirancang
,sakit hati
,sakit kepala
,sakit punggung
,sakit saraf
,sakit-dibentuk
,sakit-didefinisikan
,sakit-digunakan
,sakit-dipahami
,sakit-penggunaan
,sakitan
,sakitnya tuh disini
,salah
,Salah
,salah baca
,salah hitung
,salah informasi
,salah membaca
,salah menafsirkan
,salah mengerti
,salah mengucapkan
,salah mengurus
,salah menilai
,salah menyebutkan
,salah paham
,salah pikiran
,salah saji
,salju longsor
,saluran air
,sama sekali
,samar
,samaran
,sambilan
,sampah
,sandal bakiak
,sandera
,sangat
,sangat efektif
,sangat jahat
,sangat lapar
,sangat marah
,sangat menakjubkan
,sangat sedikit
,sanggahan
,sarkasme
,sarkastik
,saru
,satir
,satiris
,sayangnya
,sebelum waktunya
,sedang saja
,sederhana
,sedih
,sedikit
,segan
,segera
,sejajar
,selai
,selang
,selendang
,selingan
,selokan
,sembarangan
,sembrono
,semburan
,sementara
,sempit
,semrawut
,sendirian
,sengit
,sensasi
,sensasional
,sensasionil
,sentakan
,sepakan
,sepele
,serakah
,seram
,serampangan
,serangan
,Serangan
,serangan gencar
,seret
,serius
,serong
,sesat
,setan
,setengah hati
,setia
,sewenang-wenang
,shamefulness
,shamelessness
,sia-sia
,sial
,sialan
,sikap
,siksaan
,sindiran
,sindroma
,singkat
,sinis
,sinisme
,sinting
,siput
,sirep
,sisa-sisa
,sisi bawah
,sisi buta
,siuman
,skandal
,skeptis
,sobek
,sok
,sok nasehati
,sok ngatur
,sombong
,sporadis
,stagnasi
,statis
,steal
,stereotip
,stres
,suam
,suar
,subversif
,suka memandang rendah
,sulit
,sumbang
,sundal
,suram
,susah
,syok
,tabir asap
,tabu
,tahayul
,tahi
,tai
,tajam
,taji
,tak ada artinya
,tak bahagia
,tak baik
,tak berarti
,tak berdaya
,tak bergairah
,tak berguna
,tak beriman
,tak bermutu
,tak bernyawa
,tak berperasaan
,tak berperikemanusiaan
,tak berpindah-pindah
,tak bersedia
,tak biasa
,tak dihargai
,tak henti-hentinya
,tak hormat
,tak jelas
,tak kelihatan
,tak kenal ampun
,tak kompeten
,tak layak
,tak menentu
,tak pernah puas
,tak populer
,tak putus-putusnya
,tak sehat
,tak sepakat
,tak setuju
,tak tahu malu
,tak tentu
,tak terbayangkan
,tak terbedakan
,tak terdamaikan
,tak terduga
,tak terelakkan
,tak terhindarkan
,tak terhitung
,tak terkatakan
,tak terkendalikan
,tak terpecahkan
,tak terpenuhi
,tak tertahankan
,takhyul
,takut
,tamak
,tamparan
,tandus
,tangki
,tanpa
,tanpa alasan
,tanpa ampun
,tanpa belas kasihan
,tanpa berpikir
,tanpa cinta
,tanpa dasar
,tanpa diketahui
,tanpa hasil
,tanpa henti
,tanpa hukum
,tanpa iman
,tanpa kompromi
,tanpa malu
,tanpa pandang bulu
,tanpa rebewes
,tanpa sadar
,tanpa semangat
,tanpa tujuan
,tantangan
,tawanan
,tawar-menawar
,tebal
,tegang
,tegar
,teguran
,tekanan
,telanjang
,teliti
,tenggelam
,tenggelamnya
,tengkar
,teralihkan
,teramat
,teramati
,terampil
,terang-terangan
,terangsang
,terasa tidak enak
,terasing
,terbalik
,terbandingkan
,terbatas
,terbawah
,terbayangkan
,terbelakang
,terbodoh
,terbuang
,terbujuk
,terbukti
,terbunuh
,terburu nafsu
,terburuk
,tercela
,tercemar
,terdefinisi
,terdelusi
,terduga
,terencana
,terfragmentasi
,tergagap
,terganggu
,tergenang
,tergesa-gesa
,terhalang
,terhambat
,terhina
,terhukum
,teriakan
,terik
,terinfeksi
,terinfestasi
,terjal
,terjangan
,terjangkau
,terjawab
,terjelek
,terkejut
,terkena
,terkenal
,terkenal jahat
,terkesima
,terkulai
,terkutuk
,terlalu
,terlalu banyak
,terlalu berani
,terlalu bersemangat
,terlalu besar
,terlalu mahal
,terlalu menekankan
,terlalu tinggi
,terlambat
,terlantar
,terlarang
,terlepas
,terlibat
,termiskin
,ternoda
,teror
,terorirs
,terorisme
,terpencil
,terpengaruh
,terperangkap
,terperanjat
,terputus-putus
,tersandung
,tersangka
,tersangkut
,tersedak
,terselesaikan
,terselubung
,tersembunyi
,tersembunyi dan membahayakan
,tersendat
,tersentak-sentak
,tersiksa
,tersinggung
,tersumbat
,tertagihnya
,tertahankan
,tertanam di hati
,tertancap
,tertandingi
,tertarik
,tertekan
,tertempa
,tertinggal
,tertipu
,terurai
,tiba-tiba
,tidak
,tidak ada
,tidak ada reaksi
,tidak adil
,tidak akurat
,tidak aman
,tidak bagus
,tidak benar
,tidak beralasan
,tidak berharga
,tidak berhasil
,tidak berhati-hati
,tidak berkelanjutan
,tidak berperasaan
,tidak bertanggung jawab
,tidak bijaksana
,tidak cakap
,tidak cukup
,tidak curiga
,tidak dapat diandalkan
,tidak dapat digunakan
,tidak dapat dipertahankan
,tidak dapat diterima
,tidak dibutuhkan
,tidak didukung
,tidak diinginkan
,tidak diketahui
,tidak disukai
,tidak efektif
,tidak efisien
,tidak etis
,tidak hormat
,tidak jelas
,tidak jujur
,tidak kompeten
,tidak kompetitif
,tidak konsisten
,tidak kreatif
,tidak kuat
,tidak layak
,tidak lazim
,tidak lengkap
,tidak logis
,tidak mampu
,tidak masuk akal
,tidak memadai
,tidak mematuhi
,tidak membantu
,tidak memiliki
,tidak memuaskan
,tidak menarik
,tidak mendukung
,tidak menghargai
,tidak menyenangkan
,tidak menyetujui
,tidak menyukai
,tidak mungkin
,tidak nyaman
,tidak ortodoks
,tidak pantas
,tidak peduli
,tidak peka
,tidak penting
,tidak perlu
,tidak praktis
,tidak produktif
,tidak puas
,tidak ramah
,tidak rasional
,tidak resmi
,tidak sama
,tidak sebanding
,tidak seimbang
,tidak sempurna
,tidak setuju
,tidak sopan
,tidak suka
,tidak tahu berterima kasih
,tidak tegas
,tidak tepat
,tidak terbaca
,tidak terbukti
,tidak terdengar
,tidak terduga
,tidak terkalahkan
,tidak tersedia
,tidak tetap
,tidak tulus
,tidak wajar
,tikungan
,tikus
,timbunan
,timidness
,timpang
,tindak pencegahan
,tindakan ekstrimis
,tindakan merugikan
,tindakan yg bodoh
,tinggi harga-
,tinggi hati
,tinju
,tipis
,tipu
,tipu daya
,tipu muslihat
,tirani
,tolol
,topangan
,totaliter
,tragedi
,tragis
,traped
,trauma
,traumatis
,tuduhan
,Tuduhan
,tukang daging
,tukang fitnah
,tukang jualan
,Tukang onar
,Toketnya
,tuli
,Tumbang
,tumpul
,tuna karya
,tunggul
,Tunggul
,tusukan
,uap
,ugal-ugalan
,ulang
,ular berbisa
,ultimatum
,ultra-garis keras
,umpan
,umpatan
,untuk sementara
,usang
,usil
,utuh
,vagina
,virus
,volatil
,vulgar
,wabah
,waria
,was-was
,waspada
,wastafel
,ya silahkan saja
,Yahudi
